   0.0000000000000000       0.34683710743588764        1.1628253223687748E-003
 -0.14999999999999999       0.33130679273583846        6.5927203835235615E-004
 -0.29999999999999999       0.31210655213730792        6.3208939430804039E-004
 -0.45000000000000001       0.29194915222384654        8.2597310303361021E-004
 -0.59999999999999998       0.26850722387036502        7.1205273318840486E-004
 -0.75000000000000000       0.23851005374476128        8.4863138777208785E-004
 -0.90000000000000002       0.20854255590352547        5.9890991692475532E-004
  -1.0500000000000000       0.17044960500342507        7.3769957966481590E-004
  -1.2000000000000000       0.12844911210557550        8.7817850782583452E-004
  -1.3500000000000001        7.7188027151111976E-002   6.7068626688863758E-004
  -1.5000000000000000        1.9582846909907341E-002   7.3571114903932819E-004
  -1.6499999999999999       -5.0190455906384844E-002   1.0524979017298920E-003
  -1.8000000000000000      -0.12826858129125507        9.0986909918118193E-004
  -1.9500000000000000      -0.22176194964448814        6.7575542975928610E-004
  -2.1000000000000001      -0.32814678983948653        1.0374358841879251E-003
  -2.2500000000000000      -0.45136573786201889        8.1002165323291228E-004
  -2.3999999999999999      -0.59430595408374198        1.1884895072132974E-003
  -2.5499999999999998      -0.75380024282067637        9.4267452553453842E-004
  -2.7000000000000002      -0.93293971699163014        8.2827180133559640E-004
  -2.8500000000000001       -1.1329006574635854        1.3874361183979528E-003
  -3.0000000000000000       -1.3529275884506355        1.5148931100271968E-003
